company,metric_name,value,unit,as_of_date,segment,disclosed_or_derived,source_url,doc_title,page,note
MTAR Technologies Limited,number of manufacturing facilities/units,UNREACHABLE,units,NOT_FOUND,company-wide,NOT_FOUND,https://mtar.in/our-units/,Our Units - MTAR Technologies Ltd,NOT_FOUND,Primary source egress-blocked (403). Could not fetch to verify facility/unit count. Do NOT populate from aggregators per brief.
MTAR Technologies Limited,number of manufacturing facilities/units,UNREACHABLE,units,2021-02-22,company-wide,NOT_FOUND,https://simplehai.axisdirect.in/app/index.php/market/Equity/downloadProspectus/file/IPO_RHP_MTAR.pdf,MTAR Technologies Red Herring Prospectus dated February 22 2021,NOT_FOUND,RHP host egress-blocked (403). Business/Our Business section would carry facility count + built-up area + machine count; not verifiable.
MTAR Technologies Limited,total manufacturing area,UNREACHABLE,sq ft,NOT_FOUND,company-wide,NOT_FOUND,https://mtar.in/wp-content/uploads/2025/11/Investors-Presentation-30.09.2025.pdf,MTAR Investor Presentation (data as of 30-09-2025),NOT_FOUND,IR deck egress-blocked (403). Manufacturing area not verified from primary.
MTAR Technologies Limited,number of machines / CNC machines,UNREACHABLE,machines,NOT_FOUND,company-wide,NOT_FOUND,https://mtar.in/wp-content/uploads/2025/11/Investors-Presentation-30.09.2025.pdf,MTAR Investor Presentation (data as of 30-09-2025),NOT_FOUND,IR deck egress-blocked (403). Machine count not verified from primary; needed for normalise.csv.
MTAR Technologies Limited,installed capacity - clean energy hotbox units,UNREACHABLE,units per annum,NOT_FOUND,Clean Energy (fuel cells/hotboxes),NOT_FOUND,https://mtar.in/wp-content/uploads/2025/11/Investors-Presentation-30.09.2025.pdf,MTAR Investor Presentation (data as of 30-09-2025),NOT_FOUND,IR deck egress-blocked (403). Hotbox annual-capacity + scale-up roadmap not verified from primary.
MTAR Technologies Limited,capacity utilisation,UNREACHABLE,percent,NOT_FOUND,company-wide,NOT_FOUND,https://mtar.in/wp-content/uploads/2025/03/Annual-Report-FY-2024-Aug-17-2024.pdf,MTAR Annual Report FY2024,NOT_FOUND,Annual report egress-blocked (403). Capacity utilisation not verified from primary.
MTAR Technologies Limited,machine hours / machining hours,UNREACHABLE,hours,NOT_FOUND,company-wide,NOT_FOUND,https://simplehai.axisdirect.in/app/index.php/market/Equity/downloadProspectus/file/IPO_RHP_MTAR.pdf,MTAR Technologies Red Herring Prospectus dated February 22 2021,NOT_FOUND,RHP egress-blocked (403). No machine-hours convention footnote could be checked (TASK 2).
Sansera Engineering Limited,number of manufacturing plants,NOT_FOUND,NOT_FOUND,NOT_FOUND,consolidated,NOT_FOUND,https://d2un9pqbzgw43g.cloudfront.net/main/Sansera-Engineering-Limited-RHP.pdf,Sansera Engineering Limited RHP dated 6 September 2021,NOT_FOUND,UNREACHABLE — primary doc located but egress proxy returned 403 for all hosts; no figure read; not sourced from search snippets per BRIEF
Sansera Engineering Limited,manufacturing facility locations,NOT_FOUND,NOT_FOUND,NOT_FOUND,consolidated,NOT_FOUND,https://d2un9pqbzgw43g.cloudfront.net/main/Sansera-Engineering-Limited-RHP.pdf,Sansera Engineering Limited RHP dated 6 September 2021,NOT_FOUND,UNREACHABLE — egress 403; location list not read from primary source
Sansera Engineering Limited,manufacturing area,NOT_FOUND,NOT_FOUND,NOT_FOUND,consolidated,NOT_FOUND,https://sansera.in/wp-content/uploads/2024/09/Annual-Report-2023-24-1.pdf,Sansera Engineering Annual Report 2023-24,NOT_FOUND,UNREACHABLE — egress 403
