company,item,amount_or_target,period,stated_by,source_url,page
Sansera Engineering Limited,capex plan / outlay,NOT_FOUND,NOT_FOUND,rating agency,https://www.icra.in/Rating/ShowRationalReportFilePdf/125868,NOT_FOUND
Sansera Engineering Limited,objects-of-issue deployment (new machinery/equipment),NOT_FOUND,NOT_FOUND,RHP,https://d2un9pqbzgw43g.cloudfront.net/main/Sansera-Engineering-Limited-RHP.pdf,NOT_FOUND
Sansera Engineering Limited,stated capacity / segment expansion target,NOT_FOUND,NOT_FOUND,investor PPT,https://sansera.in/wp-content/uploads/2025/05/Investors-Presentation_Q4FY25.pdf,NOT_FOUND
Sansera Engineering Limited,stated asset turn,NOT_FOUND,NOT_FOUND,NOT_FOUND,https://d2un9pqbzgw43g.cloudfront.net/main/Sansera-Engineering-Limited-RHP.pdf,NOT_FOUND
Dynamatic Technologies Limited,capex (total & segment split),NOT_FOUND,FY2025/FY2026,annual report,https://dynamatics.com/annual-reports,NOT_FOUND
Dynamatic Technologies Limited,stated capacity target,NOT_FOUND,NOT_FOUND,investor PPT,https://nsearchives.nseindia.com/corporate/DYNAMATICH_20052026121424_Presentation_19052026.pdf,NOT_FOUND
Dynamatic Technologies Limited,new facility commissioning (Rear Fuselage Assembly Line D328eco Bangalore),NOT_FOUND,NOT_FOUND,earnings presentation,https://dynamatics.com/UploadImages/EarningsPresentation/Q4-and-Full-Year-FY2025-Earnings-Presentation5124-earning_presentation.pdf,NOT_FOUND
Dynamatic Technologies Limited,project cost / capex detail,NOT_FOUND,NOT_FOUND,rating agency,https://www.careratings.com,NOT_FOUND
Indo-MIM Limited,Objects of the Offer - deployment table,NOT_FOUND,NOT_FOUND,RHP,https://indo-mim.com/wp-content/uploads/2025/09/INDO-MIM-Limited-DRHP.pdf,NOT_FOUND
Indo-MIM Limited,Fresh issue size,NOT_FOUND,IPO 2025/2026,RHP,https://indo-mim.com/wp-content/uploads/2025/09/INDO-MIM-Limited-DRHP.pdf,NOT_FOUND
Indo-MIM Limited,Debt repayment from net proceeds,NOT_FOUND,IPO 2025/2026,RHP,https://indo-mim.com/wp-content/uploads/2025/09/INDO-MIM-Limited-DRHP.pdf,NOT_FOUND
Indo-MIM Limited,Capex / capacity expansion target,NOT_FOUND,NOT_FOUND,RHP,https://indo-mim.com/wp-content/uploads/2025/09/INDO-MIM-Limited-DRHP.pdf,NOT_FOUND
